t,susceptible,infectious,recovering
47,82151.45454036392,6813.928062039355,11034.617397596692
48,81421.33310922993,7047.525505362177,11531.14138540785
49,80672.89281643556,7282.419802915153,12044.687380649244
50,79906.6160886253,7518.034027608789,12575.349883765863
51,79123.0613860903,7753.757258795526,13123.181355114135
52,78322.86317145608,7988.947090657859,13688.189737886027
53,77506.73119324341,8222.932642939726,14270.336163816826
54,76675.44905511281,8455.018066605298,14869.532878281845
55,75829.87205219343,8684.48652695961,15485.641420846907
56,74970.92426763856,8910.604636296615,16118.471096064772
57,74099.59493519363,9132.62729753222,16767.777767274096
58,73216.93408680738,9349.802909843558,17433.26300334901
59,72324.04751781857,9561.378877403084,18114.573604778292
60,71422.09111563307,9766.607353206477,18811.301531160403
61,70512.26461067474,9964.751142079815,19522.984247245386
62,69595.80482035225,10155.089680524805,20249.10549912289
63,68673.97846744969,10336.925006394851,20989.096526155394
64,67748.07466337323,10509.587628711022,21742.33770791567
65,66819.39715376485,10672.442207383361,22508.160638851725
66,65889.25642888983,10824.892954282874,23285.850616827236
67,64958.9618037512,10966.388671016126,24074.649525232617
68,64029.8135729983,11096.427344808082,24873.759082193563
69,63103.09534338378,11214.56023193927,25682.344424676896
70,62180.06664187199,11320.395367975643,26499.53799015231
71,61261.955890684825,11413.600455274136,27324.44365404098
72,60349.953831832936,11493.905090593224,28156.14107757378
73,59445.207473326656,11561.10230870012,28993.690217973166
74,58548.81461764312,11615.049431240637,29836.13595111619
75,57661.8190205254,11655.668223420787,30682.512756053762
76,56785.20621519861,11682.944373854189,31531.84941094715
77,55919.90002399567,11696.926324902779,32383.173651101493
78,55066.759766559946,11697.723491672563,33235.51674176744
79,54226.57816156729,11685.503917269853,34087.91792116281
80,53400.07990757642,11660.49141978836,34939.428672635164
81,52587.92091841002,11622.962292661638,35789.116788928295
82,51790.68817957055,11573.241624422746,36636.07019600665
83,51008.90018472442,11511.699306570996,37479.40050870452
84,50243.007905309714,11438.74579921776,38318.24629547247
85,49493.396241845905,11354.827723583343,39151.77603457069
86,48760.38590251046,11260.423348397295,39979.19074909219
87,48044.235652917145,11156.038033998359,40799.72631308444
88,47345.14488067296,11042.19969363962,41612.655425687364
89,46663.256419066965,10919.454326391813,42417.28925454117
90,45998.65957600254,10788.36167031598,43212.978753681426
91,45351.39331686216,10649.491018452472,43999.11566468531
92,44721.4495532274,10503.417233839358,44775.13321293318
93,44108.776493106365,10350.71699340496,45540.50651348861
94,43513.28201239552,10191.96528432965,46294.75270327477
95,42934.837011584765,10027.732170471016,47037.43081794416
96,42373.27872607964,9858.579840799157,47768.14143312114
97,41828.413962856706,9685.059946576319,48486.52609056691
98,41300.02224039747,9507.711229294997,49192.266530307475
99,40787.858812890314,9327.057437197753,49885.08374991187
100,40291.65756349285,9143.605524557704,50564.73691194938
101,39811.13375496782,8957.844124802044,51231.02212023007
102,39345.986629217245,8770.242285999237,51883.77108478345
103,38895.90185012666,8581.248455179886,52522.84969469339
104,38460.553786689285,8391.289696389227,53148.15651692142
105,38039.60763561225,8200.771126237183,53759.621238150496
106,37632.721384524826,8010.075549977404,54357.2030654977
107,37239.54761852658,7819.56328076484,54940.88910070851
108,36859.7351741525,7629.5721246669455,55510.69270118049
109,36492.930645913286,7440.417514191878,56066.65183989477
110,36138.7797514171,7252.392773505192,56608.82747507763
111,35796.92856171762,7065.76949909419,57137.30193918812
112,35467.02460398683,6880.798040368845,57652.17735564426
113,35148.71784390343,6697.708065526249,58153.57409057025
114,34841.661555301,6516.709198921372,58641.629245777556
115,34545.51308465541,6337.991717153941,59116.49519819057
116,34259.93451792828,6161.727292076208,59578.33818999543
117,33984.593257139255,5988.069769929616,60027.33697293105
118,33719.16251383155,5817.155976813341,60463.681509355025
119,33463.32172633577,5649.106541660888,60887.571732003256
120,33216.75690743942,5484.026728841525,61299.21636371897
